Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 11:06:05:0262;1366016765262;209.6;;;;;;;;;;
2013-04-15 11:06:05:0440;1366016765440;;;;68.0;;;;;;;
2013-04-15 11:06:05:0499;1366016765499;213.3;;;;;;;;;;
2013-04-15 11:06:05:0582;1366016765582;;;;;68;;;;;;
2013-04-15 11:06:05:0737;1366016765737;215.4;;;;;;;;;;
2013-04-15 11:06:05:0782;1366016765782;;;;68.0;;;;;;;
2013-04-15 11:06:05:0932;1366016765932;;;;;68;;;;;;
2013-04-15 11:06:05:0973;1366016765973;217.7;;;;;;;;;;
2013-04-15 11:06:06:0132;1366016766132;;;;68.0;;;;;;;
2013-04-15 11:06:06:0219;1366016766219;218.8;;;;;;;;;;
2013-04-15 11:06:06:0296;1366016766296;;;;;68;;;;;;
2013-04-15 11:06:06:0449;1366016766449;218.75;;;;;;;;;;
2013-04-15 11:06:06:0497;1366016766497;;;;68.0;;;;;;;
2013-04-15 11:06:06:0640;1366016766640;;;;;68;;;;;;
2013-04-15 11:06:06:0687;1366016766687;220.7;;;;;;;;;;
2013-04-15 11:06:06:0842;1366016766842;;;;68.0;;;;;;;
2013-04-15 11:06:06:0926;1366016766926;220.35;;;;;;;;;;
2013-04-15 11:06:06:0982;1366016766982;;;;;68;;;;;;
2013-04-15 11:06:07:0164;1366016767164;220.1;;;;;;;;;;
2013-04-15 11:06:07:0182;1366016767182;;;;68.0;;;;;;;
2013-04-15 11:06:07:0328;1366016767328;;;;;68;;;;;;
2013-04-15 11:06:07:0406;1366016767406;218.55;;;;;;;;;;
2013-04-15 11:06:07:0528;1366016767528;;;;68.0;;;;;;;
2013-04-15 11:06:07:0664;1366016767664;215.6;;;;;;;;;;
2013-04-15 11:06:07:0674;1366016767674;;;;;68;;;;;;
2013-04-15 11:06:07:0877;1366016767877;;;;68.0;;;;;;;
2013-04-15 11:06:07:0881;1366016767881;212.15;;;;;;;;;;
2013-04-15 11:06:08:0022;1366016768022;;;;;68;;;;;;
2013-04-15 11:06:08:0118;1366016768118;208.4;;;;;;;;;;
2013-04-15 11:06:08:0223;1366016768223;;;;68.0;;;;;;;
2013-04-15 11:06:08:0357;1366016768357;203.65;;;;;;;;;;
2013-04-15 11:06:08:0376;1366016768376;;;;;68;;;;;;
